"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
2202.10834362121,-7.72169675259078,0.384404635318734,-20.0874184209257,9.50787897560697e-90,2.15049206670278e-85,"LOC109505290"
8894.89126761969,-4.10064883777137,0.217932951737837,-18.8161028659138,5.57364703166706e-79,6.30323742811228e-75,"LOC105051082"
980.998817314559,6.86909014809003,0.368217548244984,18.6549776913942,1.15050194835419e-77,8.67401768929171e-74,"LOC105036436"
1879.92750445742,-4.92390324256575,0.274246613487175,-17.9542900455761,4.44225566189682e-72,2.51187346401956e-68,"LOC109504909"
2853.19838853188,-3.789481624205,0.220764187544605,-17.1652914648547,4.83052075061271e-66,2.18513436674717e-62,"LOC105044000"
1108.55060715461,4.41899405927639,0.272960537217057,16.189131602428,6.01717693111951e-59,2.26827513046768e-55,"LOC105046414"
2903.20870936024,-3.61129983402844,0.22327472710336,-16.1742436364357,7.66330819265318e-59,2.47612435287757e-55,"LOC105046565"
23347.0775677058,-3.32531266933949,0.207733431142196,-16.0075951716374,1.13097361501389e-57,3.19754515304801e-54,"LOC105044125"
1026.62912260402,5.75600875176851,0.365071532225476,15.7667970347616,5.26531108047003e-56,1.32323117797857e-52,"LOC140855854"
1121.58132511913,-3.60546421523731,0.23522350986644,-15.3278225347649,4.98416110568056e-53,1.12731755888283e-49,"LOC105059508"
2637.0087053369,-4.45364936384394,0.294841738925361,-15.1052201091901,1.49606002458683e-51,3.07617142146409e-48,"LOC105039108"
1628.1232570281,4.46414761048917,0.297156576077603,15.0228800904051,5.19984091527849e-51,9.8008334851474e-48,"LOC105040393"
678.583510021533,4.0907326766563,0.27285287703945,14.9924483884582,8.22638706707121e-51,1.43126478986936e-47,"LOC105046042"
1926.36347336622,-4.91293080191596,0.328802974588924,-14.9418684793171,1.75971034801567e-50,2.74963915038403e-47,"LOC105038152"
6993.13902255754,-3.05051301380825,0.204191178620312,-14.939494616859,1.823529368457e-50,2.74963915038403e-47,"LOC105049536"
13345.2041511324,-3.77385867386936,0.25522136987715,-14.7866092705556,1.7873370951599e-49,2.52662440114542e-46,"LOC140858491"
1650.60659106788,-3.39049140472154,0.233051693295526,-14.5482375895985,5.99271500814907e-48,7.97313106201857e-45,"LOC105059033"
650.245454955327,5.56041303299469,0.383918138170385,14.483329856447,1.5443083729117e-47,1.94050926547315e-44,"LOC105054150"
503.592105307543,-4.03727365400147,0.290279020936041,-13.9082515883606,5.64423632291687e-44,6.7190177448281e-41,"LOC105048693"
1174.44363773342,-3.58245486702201,0.261860373696369,-13.6807826875552,1.32261336014766e-42,1.49574344899098e-39,"LOC105032024"
607.227948396044,4.31418859683175,0.327231178395416,13.1839166976278,1.08602815325621e-39,1.16970403668329e-36,"LOC105040014"
288.817966347296,5.14735808275417,0.396288421506972,12.9889186849826,1.41410864423966e-38,1.45383224160966e-35,"LOC105043386"
436.886281601511,4.973026773431,0.383108686358021,12.9807204861537,1.57392991679377e-38,1.54778899382789e-35,"LOC105047564"
1219.61597878736,3.12829409401035,0.241789683024474,12.9380793046232,2.74404209625483e-38,2.58603100554549e-35,"LOC105057983"
18057.8761850411,2.40780661645892,0.190950216878201,12.6096039890584,1.86929918537354e-36,1.69119235899115e-33,"LOC105043985"
1218.5325934363,-2.81408560123025,0.223468949338603,-12.5927365280906,2.31505987724145e-36,2.01392401167104e-33,"LOC105056077"
794.624747987173,3.52774302076764,0.280460958548015,12.5783746837038,2.77684254372116e-36,2.32617128347723e-33,"LOC105047331"
1777.23182432597,-3.87868053396684,0.308540434397629,-12.5710607153947,3.04609395590866e-36,2.46059118195507e-33,"LOC105038191"
705.659359675303,3.84757391651773,0.307347456364054,12.5186457113875,5.90338170762982e-36,4.60423060217832e-33,"LOC140858440"
3287.54085014298,-3.39076631219534,0.272278922037263,-12.4532824165188,1.34209774028365e-35,1.01185222299119e-32,"LOC105041643"
4396.96719029897,-2.51822019796752,0.204247383550216,-12.3292653947187,6.30186066759544e-35,4.59791885740883e-32,"LOC105052980"
1628.70710321777,-4.2678228524132,0.350331038773123,-12.1822572940135,3.86436179936247e-34,2.73137922431189e-31,"LOC105051322"
276.556390994653,-5.41929522190548,0.458651173636198,-11.8157230012978,3.23751708324427e-32,2.21897458753996e-29,"LOC105050253"
357.278348264495,6.1838043498639,0.525943087098343,11.7575541946568,6.45779510350344e-32,4.29595322503061e-29,"LOC105050826"
1479.98121292114,4.02507001525576,0.344443622937729,11.6857150117232,1.50805110756597e-31,9.7454571288363e-29,"LOC105034279"
377.361509638655,3.97052623482355,0.347306868441037,11.4323285705409,2.88273032942529e-30,1.81115540530392e-27,"LOC105060890"
4854.25465862616,-2.34976734474546,0.206635964732637,-11.3715313197573,5.79616810554085e-30,3.54318189759792e-27,"LOC105035104"
370.02300841018,-4.21060925237646,0.371122736466666,-11.3455976652475,7.79915349417457e-30,4.64213825608528e-27,"LOC105058076"
784.565239047094,-2.9207088764208,0.258689156230662,-11.2904186591282,1.46337963530555e-29,8.48685143367718e-27,"LOC105043427"
649.240221060754,3.48987774274652,0.309486853732881,11.2763359756749,1.71751421839186e-29,9.71168414789678e-27,"LOC105055678"
217.055571860632,4.71736833285193,0.419107195402665,11.2557560084828,2.16957629713609e-29,1.19686528508839e-26,"LOC105041252"
824.583164473939,3.77319539091817,0.337401084613709,11.183115772251,4.93271664112192e-29,2.65638535687847e-26,"LOC140852467"
399.206565613701,-4.87450155278721,0.437031428409606,-11.1536636404524,6.87175258791388e-29,3.6145418612427e-26,"LOC105056442"
2041.15333990803,3.22589444969514,0.289926053092183,11.1266111316649,9.31083320487594e-29,4.78619148699736e-26,"LOC105057231"
452.762640414216,4.34063946857861,0.395064897382219,10.9871555213854,4.4059339028228e-28,2.21452028920102e-25,"LOC105059334"
787.396216321506,3.7379261813511,0.3411431676948,10.9570600713164,6.14637140466327e-28,3.022144096319e-25,"LOC105038671"
468.231116299219,3.71471844098789,0.339691842207371,10.9355538739143,7.79286465031191e-28,3.75019175873946e-25,"LOC105052677"
10223.0257516333,-2.28116032168122,0.209584472949419,-10.884204777096,1.37089881745043e-27,6.45978946939453e-25,"LOC105041573"
1455.12279355824,-2.39778018698546,0.221674975520089,-10.816648028763,2.87085755599277e-27,1.32516441227438e-24,"LOC105046561"
387.776829514282,-3.2022227430392,0.297068239098796,-10.779418064865,4.30601232712288e-27,1.94786773629731e-24,"LOC105047077"
